Day,Cash On Hand
11,283232
12,671422
13,518745
14,505715
15,642445
16,430798
17,95171
18,327473
19,44387
20,506940
21,165065
22,358107
23,594175
24,516309
25,269548
26,504952
27,331242
28,583024
29,392119
30,1233210
31,2385159
32,1956040
33,3483872
34,5939668
35,7430223
36,7467965
37,7290315
38,7278537
39,7046547
40,6649019
41,6928860
42,7087019
43,6735592
44,10586847
45,11650523
46,13377632
47,12493823
48,12778494
49,12140354
50,13509317
51,13464471
52,13713700
53,14587246
54,15775955
55,14255470
56,14325209
57,12468568
58,12110423
59,14634506
60,14507029
61,14644785
62,14597640
63,14662678
64,15183164
65,16019247
66,16284326
67,16492050
68,16416760
69,16540988
70,18294558
71,20532481
72,22983233
73,23856025
74,22959608
75,23325513
76,25224821
77,25570800
78,25922468
79,27159008
80,27444500
81,26921892
82,29286630
83,30019411
84,31185797
85,31733419
86,31643685
87,32340488
88,32449788
89,32378415
90,32607668
